,Country,Year,Usage
0,Nigeria,2019,28
1,Thailand,2019,23
2,Philippines,2019,15
3,Vietnam,2019,22
4,Turkey,2019,20
5,Argentina,2019,16
6,South Africa,2019,16
7,Switzerland,2019,10
8,Kenya,2019,10
9,Malaysia,2019,6
10,Brazil,2019,16
11,Netherlands,2019,9
12,Colombia,2019,18
13,Czechia,2019,10
14,India,2019,7
15,Portugal,2019,9
16,Spain,2019,10
17,Chile,2019,11
18,Pakistan,2019,6
19,Ireland,2019,8
20,United Arab Emirates,2019,20
21,United States,2019,6
22,Peru,2019,15
23,Hong Kong,2019,11
24,Greece,2019,11
25,South Korea,2019,8
26,Egypt,2019,10
27,Indonesia,2019,11
28,Saudi Arabia,2019,14
29,Australia,2019,7
30,Lithuania,2019,6
31,New Zealand,2019,6
32,Canada,2019,5
33,Denmark,2019,8
34,Dominican Republic,2019,10
35,Serbia,2019,9
36,Romania,2019,9
37,Singapore,2019,9
38,Poland,2019,8
39,Morocco,2019,10
40,Germany,2019,5
41,Mexico,2019,11
42,Austria,2019,7
43,Taiwan,2019,10
44,Belgium,2019,7
45,Hungary,2019,11
46,Russia,2019,9
47,Sweden,2019,4
48,Norway,2019,7
49,Israel,2019,8
50,Italy,2019,7
51,France,2019,5
52,Finland,2019,4
53,China,2019,9
54,United Kingdom,2019,5
55,Japan,2019,3
56,Nigeria,2020,32
57,Thailand,2020,18
58,Philippines,2020,20
59,Vietnam,2020,21
60,Turkey,2020,16
61,Argentina,2020,14
62,South Africa,2020,18
63,Switzerland,2020,11
64,Kenya,2020,11
65,Malaysia,2020,12
66,Brazil,2020,11
67,Netherlands,2020,10
68,Colombia,2020,15
69,Czechia,2020,9
70,India,2020,9
71,Portugal,2020,8
72,Spain,2020,9
73,Chile,2020,12
74,Pakistan,2020,6
75,Ireland,2020,10
76,United Arab Emirates,2020,10
77,United States,2020,6
78,Peru,2020,16
79,Hong Kong,2020,11
80,Greece,2020,11
81,South Korea,2020,8
82,Egypt,2020,8
83,Indonesia,2020,13
84,Saudi Arabia,2020,11
85,Australia,2020,8
86,Lithuania,2020,9
87,New Zealand,2020,5
88,Canada,2020,5
89,Denmark,2020,4
90,Dominican Republic,2020,10
91,Serbia,2020,7
92,Romania,2020,6
93,Singapore,2020,10
94,Poland,2020,7
95,Morocco,2020,9
96,Germany,2020,5
97,Mexico,2020,10
98,Austria,2020,7
99,Taiwan,2020,5
100,Belgium,2020,6
101,Hungary,2020,6
102,Russia,2020,7
103,Sweden,2020,5
104,Norway,2020,8
105,Israel,2020,5
106,Italy,2020,5
107,France,2020,6
108,Finland,2020,5
109,China,2020,7
110,United Kingdom,2020,5
111,Japan,2020,4
112,Nigeria,2021,42
113,Thailand,2021,31
114,Philippines,2021,28
115,Vietnam,2021,27
116,Turkey,2021,25
117,Argentina,2021,21
118,South Africa,2021,21
119,Switzerland,2021,16
120,Kenya,2021,16
121,Malaysia,2021,16
122,Brazil,2021,16
123,Netherlands,2021,15
124,Colombia,2021,15
125,Czechia,2021,15
126,India,2021,15
127,Portugal,2021,14
128,Spain,2021,14
129,Chile,2021,14
130,Pakistan,2021,14
131,Ireland,2021,13
132,United Arab Emirates,2021,13
133,United States,2021,13
134,Peru,2021,13
135,Hong Kong,2021,13
136,Greece,2021,13
137,South Korea,2021,13
138,Egypt,2021,12
139,Indonesia,2021,12
140,Saudi Arabia,2021,12
141,Australia,2021,12
142,Lithuania,2021,11
143,New Zealand,2021,11
144,Canada,2021,11
145,Denmark,2021,11
146,Dominican Republic,2021,11
147,Serbia,2021,11
148,Romania,2021,11
149,Singapore,2021,11
150,Poland,2021,10
151,Morocco,2021,10
152,Germany,2021,10
153,Mexico,2021,10
154,Austria,2021,10
155,Taiwan,2021,10
156,Belgium,2021,10
157,Hungary,2021,9
158,Russia,2021,9
159,Sweden,2021,9
160,Norway,2021,9
161,Israel,2021,8
162,Italy,2021,8
163,France,2021,7
164,Finland,2021,7
165,China,2021,7
166,United Kingdom,2021,7
167,Japan,2021,4
